RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
9247,7,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,12,2,3,1,5,3,1,3,1,3,1,4,1,0.26624724013744,0.7993593114833589
14233,7,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2,3,2,1,1,4,1,1,1,3,3,2,0.1774981600916267,0.1027004838560645
13255,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,12,2,1,2,1,1,3,1,1,2,8,3,2,1.604400946201048,1.373641014181489
1564,10,1,1.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,2,1,1,4,1,2,1,1,1,1,0.802200473100524,0.7146387849774956
780,10,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,10,1,3,2,2,2,2,4,1,2,8,1,1,0.802200473100524,2.1715490365069128
11181,10,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,3,1,2,1,1,4,1,2,1,1,1,1,0.401100236550262,0.3180587838958779
5145,10,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,3,2,1,1,4,1,1,99,6,2,1,0.802200473100524,0.5019885750217431
16368,1,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1,2,2,2,2,2,2,1,1,1,2,2,1,0.0800821496071728,0.1075006945853088
14782,10,3,,,,,,,,,,,,12,3,3,2,5,4,4,1,1,2,3,2,1,1.604400946201048,2.8473856798629926
3017,10,2,1.0,1.0,2.0,2.0,99.0,2.0,2.0,2.0,1.0,2.0,2.0,2,2,2,2,1,1,4,1,1,2,5,4,1,0.802200473100524,0.4377437169639059
7158,10,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,1,1,8,4,1,0.401100236550262,0.2342870696846766
14402,10,1,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,1,2,1,1,1,1,2,3,5,1,1,1.2033007096507862,1.8060822406868424
13349,10,3,,,,,,,,,,,,2,3,2,2,1,1,4,1,1,99,4,2,1,1.604400946201048,1.3187681434249294
14373,10,2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,10,1,3,2,1,1,2,1,2,1,4,3,1,0.401100236550262,0.3723139337323474
6489,10,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,2,1,1,4,1,2,2,4,3,2,1.604400946201048,0.6978294979786571
11684,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,1,2,1,1,2,1,2,2,6,1,1,1.604400946201048,3.4760634468221747
17455,10,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,1,2,1,1,3,1,1,2,3,3,1,1.604400946201048,2.190711188711161
1698,10,2,1.0,1.0,2.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,2,1,1,3,1,2,4,4,1,1,2.4066014193015723,1.4485162258245745
2820,9,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1,2,2,1,4,3,1,1,2,2,2,2,1,0.4509005960677219,0.9357280083930084
11520,10,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,3,1,1,4,6,1,1,2.4066014193015723,1.622894396913778
1644,10,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,3,3,1,1,3,3,1,2,3,5,4,1,2.4066014193015723,1.793223173917302
533,6,1,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,10,3,4,1,99,3,3,4,1,1,1,4,1,0.391565420857087,1.7543523914478938
12802,6,2,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1,2,1,99,3,1,1,2,1,1,1,1,0.391565420857087,0.8933876810354783
15977,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1,1,2,3,5,2,4,1,2,6,3,1,1.604400946201048,1.828096623115552
7189,10,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,1,2,1,1,4,1,1,2,4,3,1,0.802200473100524,0.2670737930672933
